SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
N167|N167.mRNA.840.1	N167|N167.mRNA.838.1	0.400832	2.807017	0.142797	737.693446	219.306554	1.629306	2.856704	1467
N167|N167.mRNA.841.1	N167|N167.mRNA.8342.1	0.067721	0.144362	0.469103	302.754650	138.245350	4.224951	0.275240	441
N167|N167.mRNA.839.1	N167|N167.mRNA.262.1	0.186858	0.295622	0.632084	231.578944	80.421056	2.910367	0.644679	438
N167|N167.mRNA.591.1	N167|N167.mRNA.596.1	0.000000	0.000000	99.000000	596.837165	168.162835	4.600000	0.000000	765
N167|N167.mRNA.813.1	N167|N167.mRNA.1344.1	0.451729	3.322166	0.135974	354.105924	83.894076	1.681211	3.004590	837
N167|N167.mRNA.810.1	N167|N167.mRNA.9270.1	0.036138	0.071171	0.507763	312.288456	119.711544	2.877304	0.137538	1143
N167|N167.mRNA.814.1	N167|N167.mRNA.10262.1	0.516522	3.526594	0.146465	381.818923	110.181077	1.589809	3.571841	888
N167|N167.mRNA.789.1	N167|N167.mRNA.6240.1	0.146567	2.144026	0.068361	1605.617956	419.382044	1.031855	1.680735	2307
N167|N167.mRNA.669.1	N167|N167.mRNA.671.1	0.000000	0.000000	99.000000	581.901523	213.098477	4.600000	0.000000	912
N167|N167.mRNA.670.1	N167|N167.mRNA.672.1	0.062251	0.120842	0.515142	282.377776	38.622224	0.203606	0.207902	336
N167|N167.mRNA.4770.1	N167|N167.mRNA.4769.1	0.582815	3.564807	0.163491	499.059575	115.940425	1.063429	3.434950	1044
N167|N167.mRNA.4818.1	N167|N167.mRNA.7314.1	0.314998	3.534167	0.089129	394.823807	106.176193	1.691057	2.991694	513
N167|N167.mRNA.4752.1	N167|N167.mRNA.7549.1	0.169434	0.166345	1.018571	223.437038	76.562962	3.069759	0.505938	306
N167|N167.mRNA.4756.1	N167|N167.mRNA.998.1	0.291497	3.981958	0.073204	868.795830	202.204170	0.961096	2.964762	1110
N167|N167.mRNA.4766.1	N167|N167.mRNA.8773.1	0.191718	4.337449	0.044201	1202.182054	324.817946	1.424335	3.220749	1599
N167|N167.mRNA.4765.1	N167|N167.mRNA.8374.1	0.508046	3.171250	0.160204	1173.841406	308.158594	1.622278	3.185452	1584
N167|N167.mRNA.4821.1	N167|N167.mRNA.1646.1	0.790242	1.830001	0.431826	345.814685	95.185315	1.423461	3.043989	552
N167|N167.mRNA.4759.1	N167|N167.mRNA.10573.1	0.287951	2.268514	0.126934	1058.647751	318.352249	2.057604	2.237528	1401
N167|N167.mRNA.4754.1	N167|N167.mRNA.577.1	0.248195	1.105944	0.224419	234.283319	80.716681	2.155685	1.403962	315
N167|N167.mRNA.4814.1	N167|N167.mRNA.4154.1	0.364517	3.717308	0.098059	628.917181	142.082819	1.079540	2.947146	894
N167|N167.mRNA.4778.1	N167|N167.mRNA.5357.1	0.228754	4.144946	0.055189	972.713107	251.286893	1.417376	3.098243	1257
N167|N167.mRNA.4824.1	N167|N167.mRNA.10790.1	0.251815	2.287499	0.110083	260.317391	63.682609	1.482202	1.955795	462
N167|N167.mRNA.4767.1	N167|N167.mRNA.10779.1	0.523003	4.538334	0.115241	1537.415282	424.584718	1.437634	4.175811	2598
N167|N167.mRNA.4813.1	N167|N167.mRNA.1215.1	0.590314	3.526744	0.167382	363.796798	110.203202	1.363642	3.819068	606
N167|N167.mRNA.4817.1	N167|N167.mRNA.11111.1	0.269589	1.367794	0.197098	293.570191	69.429809	1.039711	1.438917	2907
N167|N167.mRNA.4761.1	N167|N167.mRNA.10571.1	0.240474	1.604501	0.149875	857.952581	258.047419	1.697349	1.667614	1191
N167|N167.mRNA.4809.1	N167|N167.mRNA.6142.1	0.688553	2.785517	0.247190	1633.238158	427.761842	1.131790	3.371338	2334
N167|N167.mRNA.4762.1	N167|N167.mRNA.11056.1	0.311104	3.860272	0.080591	656.079999	171.920001	1.345894	3.144085	834
N167|N167.mRNA.4780.1	N167|N167.mRNA.148.1	0.217136	5.049295	0.043003	3111.846951	839.153049	1.356582	3.730316	4770
N167|N167.mRNA.4815.1	N167|N167.mRNA.3169.1	0.624511	2.598025	0.240379	1702.881301	529.118699	1.333678	3.277057	2337
N167|N167.mRNA.4801.1	N167|N167.mRNA.7904.1	0.317251	4.591328	0.069098	1653.329085	455.670915	1.214306	3.722126	2331
N167|N167.mRNA.4810.1	N167|N167.mRNA.5459.1	0.448188	4.222510	0.106143	972.334047	278.665953	1.334124	3.866806	1311
N167|N167.mRNA.4760.1	N167|N167.mRNA.10572.1	0.302064	4.414142	0.068431	1392.209385	359.790615	1.634730	3.439561	1755
N167|N167.mRNA.4807.1	N167|N167.mRNA.5356.1	0.159848	3.554901	0.044965	572.580874	114.419126	1.126550	2.175871	732
N167|N167.mRNA.4768.1	N167|N167.mRNA.11881.1	0.186341	2.437371	0.076452	3062.742165	843.257835	1.612014	2.016933	3921
N167|N167.mRNA.4757.1	N167|N167.mRNA.11508.1	0.484226	4.146309	0.116785	849.256130	251.743870	1.544910	3.964687	1167
N167|N167.mRNA.4785.1	N167|N167.mRNA.8259.1	0.343890	3.600123	0.095522	511.469591	121.530409	1.263988	2.907175	792
N167|N167.mRNA.4758.1	N167|N167.mRNA.10574.1	0.623163	1.464064	0.425639	1467.279069	524.720931	4.407394	2.534004	3423
N167|N167.mRNA.4799.1	N167|N167.mRNA.8260.1	0.188239	3.100290	0.060717	704.406556	189.593444	0.918283	2.417422	924
N167|N167.mRNA.4825.1	N167|N167.mRNA.4335.1	0.648820	2.943941	0.220392	764.625592	210.374408	1.359119	3.432104	1341
N167|N167.mRNA.4804.1	N167|N167.mRNA.8210.1	0.224597	2.083479	0.107799	2389.518122	640.481878	1.437356	1.852584	3075
N167|N167.mRNA.4773.1	N167|N167.mRNA.7390.1	0.608169	4.710601	0.129106	1817.783280	534.216720	1.454149	4.619899	3234
N167|N167.mRNA.4776.1	N167|N167.mRNA.4074.1	0.366673	4.544662	0.080682	1428.817739	428.182261	1.596863	3.990067	2928
N167|N167.mRNA.4750.1	N167|N167.mRNA.71.1	0.000000	0.000000	99.000000	1576.351770	589.648230	4.600000	0.000000	2211
N167|N167.mRNA.4793.1	N167|N167.mRNA.1003.1	0.616318	2.212976	0.278502	1102.352485	307.647515	1.756799	2.894078	1530
N167|N167.mRNA.4771.1	N167|N167.mRNA.10196.1	0.080230	1.456786	0.055073	1386.249304	299.750696	1.138628	0.974896	1698
N167|N167.mRNA.4764.1	N167|N167.mRNA.7523.1	0.472486	2.308045	0.204712	1344.692754	356.307246	1.431129	2.570937	2208
N167|N167.mRNA.4797.1	N167|N167.mRNA.3170.1	0.741361	4.335694	0.170990	1130.941112	324.058888	1.523050	4.625683	1710
N167|N167.mRNA.4811.1	N167|N167.mRNA.4554.1	0.574299	2.645530	0.217083	1102.497554	304.502446	1.330738	3.067662	1491
N167|N167.mRNA.4772.1	N167|N167.mRNA.7168.1	0.767094	2.919065	0.262788	1114.071424	355.928576	1.462668	3.864442	2166
N167|N167.mRNA.4806.1	N167|N167.mRNA.7906.1	0.308907	3.740197	0.082591	528.514090	146.485910	1.160668	3.160656	711
N167|N167.mRNA.4782.1	N167|N167.mRNA.5570.1	0.840175	2.413187	0.348160	1376.207230	363.792770	1.447742	3.507164	2826
N167|N167.mRNA.4802.1	N167|N167.mRNA.7903.1	0.406756	3.296043	0.123407	413.977686	81.022314	0.683228	2.639036	636
N167|N167.mRNA.4781.1	N167|N167.mRNA.6189.1	0.238822	4.009705	0.059561	777.175175	209.824825	1.239893	3.121405	1092
N167|N167.mRNA.4779.1	N167|N167.mRNA.3392.1	0.505104	3.954751	0.127721	737.999741	195.000259	1.337843	3.678277	1161
N167|N167.mRNA.4755.1	N167|N167.mRNA.5634.1	0.712730	3.867249	0.184299	630.473232	173.526768	1.412118	4.180702	1575
N167|N167.mRNA.4822.1	N167|N167.mRNA.6587.1	0.177103	5.073640	0.034907	3513.161154	866.838846	1.384156	3.438507	4422
N167|N167.mRNA.668.1	N167|N167.mRNA.667.1	0.065392	0.081416	0.803178	407.420703	123.579297	1.752936	0.207363	738
N167|N167.mRNA.437.1	N167|N167.mRNA.9538.1	0.359465	4.903760	0.073304	2587.856873	691.143127	1.136758	3.951917	4275
N167|N167.mRNA.430.1	N167|N167.mRNA.4445.1	0.271426	1.544504	0.175736	2360.067972	780.932028	2.781938	1.763836	3267
N167|N167.mRNA.438.1	N167|N167.mRNA.8972.1	0.773777	4.252818	0.181944	1080.842312	290.157688	1.584548	4.530237	1806
N167|N167.mRNA.429.1	N167|N167.mRNA.11233.1	0.587593	2.109835	0.278502	548.035136	141.964864	2.338948	2.702365	813
N167|N167.mRNA.439.1	N167|N167.mRNA.6637.1	0.979853	2.945670	0.332642	1532.953579	465.046421	1.748384	4.312227	2976
N167|N167.mRNA.3517.1	N167|N167.mRNA.10664.1	0.336928	4.363530	0.077215	1337.687856	336.312144	1.376655	3.437658	1749
N167|N167.mRNA.3516.1	N167|N167.mRNA.11534.1	0.421191	3.835488	0.109814	559.668279	166.331721	1.299573	3.610292	909
N167|N167.mRNA.3518.1	N167|N167.mRNA.9294.1	0.551197	4.225283	0.130452	1058.301938	279.698062	1.111902	3.957705	1443
N167|N167.mRNA.3519.1	N167|N167.mRNA.9025.1	0.605018	3.153500	0.191856	472.629569	151.370431	1.960793	3.669693	711
N167|N167.mRNA.3533.1	N167|N167.mRNA.2994.1	0.409279	4.739498	0.086355	1916.798689	555.201311	1.418353	4.145487	2595
N167|N167.mRNA.3523.1	N167|N167.mRNA.9021.1	0.403571	2.174863	0.185562	592.688501	181.311499	1.807855	2.455503	891
N167|N167.mRNA.3532.1	N167|N167.mRNA.12066.1	0.620660	4.010558	0.154757	743.936404	210.063596	1.405697	4.101270	987
N167|N167.mRNA.3530.1	N167|N167.mRNA.11693.1	0.212401	4.367474	0.048633	1290.914348	338.085652	1.493220	3.224259	1809
N167|N167.mRNA.3521.1	N167|N167.mRNA.9023.1	0.379566	0.974235	0.389605	283.152514	109.847486	4.136153	1.637347	399
N167|N167.mRNA.3531.1	N167|N167.mRNA.2261.1	0.519832	4.780278	0.108745	2239.774847	586.225153	1.444690	4.210856	3048
N167|N167.mRNA.9186.1	N167|N167.mRNA.6355.1	0.015999	0.023209	0.689367	569.337607	219.662393	3.779750	0.054019	2208
N167|N167.mRNA.9273.1	N167|N167.mRNA.2114.1	0.561281	4.380802	0.128123	1275.852775	344.147225	1.583143	4.118061	2235
N167|N167.mRNA.9318.1	N167|N167.mRNA.2662.1	0.177890	4.289375	0.041472	1213.349156	304.650844	1.222486	3.009098	1545
N167|N167.mRNA.9288.1	N167|N167.mRNA.4385.1	0.635485	2.391043	0.265777	1513.580381	403.419619	1.305643	3.014790	2124
N167|N167.mRNA.9276.1	N167|N167.mRNA.2051.1	0.817366	2.642636	0.309299	675.643922	185.356078	1.774160	3.630929	930
N167|N167.mRNA.9255.1	N167|N167.mRNA.2084.1	0.678022	3.441042	0.197040	381.696892	98.303108	1.278063	3.731649	1128
N167|N167.mRNA.9258.1	N167|N167.mRNA.7951.1	0.208743	3.845071	0.054289	635.529375	168.470625	1.399520	2.912105	846
N167|N167.mRNA.9214.1	N167|N167.mRNA.4005.1	0.237656	3.955717	0.060079	884.748249	195.251751	1.238340	2.729517	1755
N167|N167.mRNA.9257.1	N167|N167.mRNA.9352.1	0.452360	3.995723	0.113211	781.050695	205.949305	1.259173	3.575174	1056
N167|N167.mRNA.9225.1	N167|N167.mRNA.6410.1	0.610389	4.257872	0.143355	1081.880774	292.119226	1.259651	4.157586	1659
N167|N167.mRNA.9191.1	N167|N167.mRNA.9752.1	0.476404	4.015288	0.118648	916.607374	211.392626	1.090545	3.418824	1350
N167|N167.mRNA.9253.1	N167|N167.mRNA.9353.1	0.172483	4.071870	0.042360	948.042359	227.957641	0.898413	2.785038	1269
N167|N167.mRNA.9272.1	N167|N167.mRNA.4369.1	0.418812	4.442053	0.094283	1576.567462	373.432538	1.155809	3.567834	3240
N167|N167.mRNA.9230.1	N167|N167.mRNA.3846.1	0.838236	4.290983	0.195348	1299.695324	305.304676	1.165713	4.485063	1803
N167|N167.mRNA.9180.1	N167|N167.mRNA.1374.1	0.820772	5.105564	0.160760	4000.467058	904.532942	1.061366	4.832796	5748
N167|N167.mRNA.9299.1	N167|N167.mRNA.3343.1	0.406198	3.555421	0.114247	467.501530	114.498470	1.034949	3.077259	1227
N167|N167.mRNA.9306.1	N167|N167.mRNA.10368.1	1.073503	1.970551	0.544773	2147.127486	597.872514	1.462990	3.806651	3348
N167|N167.mRNA.9326.1	N167|N167.mRNA.6861.1	0.410167	3.193181	0.128451	1042.808239	343.191761	1.828418	3.297833	1548
N167|N167.mRNA.9239.1	N167|N167.mRNA.8001.1	0.396489	4.034756	0.098268	836.048354	216.951646	1.149526	3.438264	1338
N167|N167.mRNA.9178.1	N167|N167.mRNA.4829.1	0.067492	0.654232	0.103162	248.090458	63.909542	1.808807	0.563035	501
N167|N167.mRNA.9319.1	N167|N167.mRNA.2485.1	0.487716	1.792252	0.272125	333.343210	95.656790	1.652668	2.335789	468
N167|N167.mRNA.9181.1	N167|N167.mRNA.5412.1	0.317999	4.761621	0.066784	2167.178214	571.821786	1.278553	3.737085	4896
N167|N167.mRNA.9238.1	N167|N167.mRNA.8000.1	0.336238	4.212391	0.079821	1096.068784	274.931216	1.291035	3.340607	1689
N167|N167.mRNA.9229.1	N167|N167.mRNA.6413.1	0.503807	4.129182	0.122011	878.939850	246.060150	1.913106	3.890249	1410
N167|N167.mRNA.9328.1	N167|N167.mRNA.6516.1	0.272339	1.862200	0.146246	1027.859314	277.140686	1.475838	1.829926	1353
N167|N167.mRNA.9247.1	N167|N167.mRNA.10038.1	0.576406	4.319389	0.133446	1221.910263	317.089737	1.183252	4.042789	1764
N167|N167.mRNA.9200.1	N167|N167.mRNA.2185.1	0.859505	3.091670	0.278007	645.634243	221.365757	1.924641	4.288290	1020
N167|N167.mRNA.9277.1	N167|N167.mRNA.8673.1	0.409585	1.652687	0.247830	739.948108	250.051892	2.364163	2.170695	1008
N167|N167.mRNA.9332.1	N167|N167.mRNA.1823.1	0.300778	2.010297	0.149618	1583.025559	438.974441	1.843562	2.015738	2046
N167|N167.mRNA.9179.1	N167|N167.mRNA.520.1	0.000000	0.000000	99.000000	246.327695	86.672305	4.600000	0.000000	333
N167|N167.mRNA.9213.1	N167|N167.mRNA.11931.1	0.364011	4.342975	0.083816	1277.779819	327.220181	1.137721	3.525673	1749
N167|N167.mRNA.9188.1	N167|N167.mRNA.8519.1	0.875755	2.652389	0.330176	1215.264451	368.735549	1.756921	3.868001	1917
N167|N167.mRNA.9198.1	N167|N167.mRNA.4102.1	0.847143	4.022616	0.210595	761.531675	213.468325	1.351266	4.627161	1251
N167|N167.mRNA.9300.1	N167|N167.mRNA.3342.1	0.838022	3.908219	0.214426	728.730423	183.269577	1.075434	4.364967	2301
N167|N167.mRNA.9219.1	N167|N167.mRNA.7253.1	0.707737	4.028269	0.175693	795.916614	215.083386	1.367480	4.242474	1623
N167|N167.mRNA.9316.1	N167|N167.mRNA.8415.1	0.377518	4.346301	0.086860	1360.325631	328.674369	1.274198	3.449494	1818
N167|N167.mRNA.9192.1	N167|N167.mRNA.7500.1	0.913905	4.589014	0.199151	1618.732611	454.267389	1.270982	5.157752	2568
N167|N167.mRNA.9260.1	N167|N167.mRNA.2703.1	0.236600	4.378058	0.054042	1256.109490	342.890510	1.405482	3.374091	1680
N167|N167.mRNA.9241.1	N167|N167.mRNA.9366.1	0.007629	0.175856	0.043382	790.548269	334.451731	34.997226	0.172924	1125
N167|N167.mRNA.9287.1	N167|N167.mRNA.4130.1	0.546635	2.916125	0.187453	751.835521	214.164479	1.334911	3.215871	987
N167|N167.mRNA.9312.1	N167|N167.mRNA.7137.1	0.571548	4.135796	0.138196	1062.760353	248.239647	1.135759	3.739331	1962
N167|N167.mRNA.9266.1	N167|N167.mRNA.6868.1	0.513185	3.469292	0.147922	419.923523	102.076477	0.991100	3.273744	561
N167|N167.mRNA.9190.1	N167|N167.mRNA.3885.1	0.527635	3.772264	0.139872	678.115166	152.884834	1.028429	3.373715	963
N167|N167.mRNA.9329.1	N167|N167.mRNA.5652.1	0.541475	4.208789	0.128653	977.385907	273.614093	1.408601	4.030728	3909
N167|N167.mRNA.9279.1	N167|N167.mRNA.8671.1	0.692550	4.614425	0.150084	1618.077960	469.922040	1.483448	4.725603	3174
N167|N167.mRNA.9199.1	N167|N167.mRNA.8594.1	0.803477	3.765733	0.213365	1130.493616	312.506384	1.514838	4.335014	1881
N167|N167.mRNA.9189.1	N167|N167.mRNA.9751.1	0.005788	0.570573	0.010144	520.364270	112.635730	0.968402	0.318857	633
N167|N167.mRNA.9310.1	N167|N167.mRNA.7138.1	0.752701	4.238834	0.177573	1257.202308	284.797692	1.101798	4.189705	1809
N167|N167.mRNA.9325.1	N167|N167.mRNA.6862.1	0.007204	0.661680	0.010888	279.122564	47.877436	0.421018	0.309087	327
N167|N167.mRNA.9298.1	N167|N167.mRNA.11.1	0.481223	4.104645	0.117239	823.859838	238.140162	1.650120	3.881189	1374
N167|N167.mRNA.9274.1	N167|N167.mRNA.857.1	0.815381	2.505566	0.325428	364.529009	85.470991	1.627673	3.409222	549
N167|N167.mRNA.9212.1	N167|N167.mRNA.11932.1	0.437961	1.728790	0.253334	477.980729	155.019271	4.322043	2.262240	1560
N167|N167.mRNA.9281.1	N167|N167.mRNA.4251.1	0.403312	3.968855	0.101619	836.298040	198.701960	1.172740	3.263503	1275
N167|N167.mRNA.9313.1	N167|N167.mRNA.5368.1	0.442617	1.071469	0.413094	888.692445	275.307555	2.593620	1.774056	1392
N167|N167.mRNA.9205.1	N167|N167.mRNA.9567.1	0.506193	4.233728	0.119562	1016.134753	282.865247	1.303859	3.953660	1644
N167|N167.mRNA.9293.1	N167|N167.mRNA.11971.1	0.595590	1.501483	0.396668	621.931261	188.068739	2.338149	2.417770	1122
N167|N167.mRNA.9237.1	N167|N167.mRNA.7979.1	0.421043	4.495596	0.093657	1515.933382	401.066618	1.275983	3.820512	3549
N167|N167.mRNA.9265.1	N167|N167.mRNA.9989.1	0.347132	4.361267	0.079594	1173.701106	335.298894	1.300981	3.717211	1668
N167|N167.mRNA.9320.1	N167|N167.mRNA.7941.1	0.183680	4.183728	0.043903	1283.377670	264.622330	1.090254	2.602400	1731
N167|N167.mRNA.9210.1	N167|N167.mRNA.4044.1	0.155429	1.134544	0.136997	966.296615	236.703385	1.561022	1.044241	1212
N167|N167.mRNA.9182.1	N167|N167.mRNA.382.1	0.116798	3.803804	0.030706	647.548689	159.451311	1.849772	2.535888	1599
N167|N167.mRNA.9249.1	N167|N167.mRNA.4252.1	0.243831	1.354021	0.180079	519.319721	167.680279	1.951553	1.544405	693
N167|N167.mRNA.9330.1	N167|N167.mRNA.7649.1	0.001392	0.194785	0.007147	719.023833	351.976167	98.738078	0.194848	1128
N167|N167.mRNA.701.1	N167|N167.mRNA.365.1	0.000000	0.000000	99.000000	215.319837	90.680163	4.600000	0.000000	306
N167|N167.mRNA.241.1	N167|N167.mRNA.5741.1	0.629777	3.506365	0.179610	414.750945	107.249055	0.927779	3.662385	561
N167|N167.mRNA.239.1	N167|N167.mRNA.5727.1	0.554064	4.250396	0.130356	1111.777959	289.222041	1.183565	3.951401	2235
N167|N167.mRNA.2736.1	N167|N167.mRNA.5385.1	0.652013	4.909359	0.132810	2690.677849	696.322151	1.259828	4.581800	3885
N167|N167.mRNA.2731.1	N167|N167.mRNA.10203.1	0.208002	4.422736	0.047030	1553.062891	363.937109	0.956330	3.024473	2091
N167|N167.mRNA.2730.1	N167|N167.mRNA.10204.1	0.262066	4.457851	0.058787	1265.618200	381.381800	1.799977	3.700944	1911
N167|N167.mRNA.2735.1	N167|N167.mRNA.10031.1	0.128952	4.617310	0.027928	1868.266998	471.733002	1.443102	3.101351	2442
N167|N167.mRNA.22.1	N167|N167.mRNA.7995.1	0.417037	2.967525	0.140533	208.715490	52.284510	1.073724	2.783880	738
N167|N167.mRNA.775.1	N167|N167.mRNA.9537.1	0.281155	3.689849	0.076197	769.024987	136.975013	0.900582	2.389511	936
N167|N167.mRNA.773.1	N167|N167.mRNA.10719.1	0.548402	4.409452	0.124370	1247.452287	357.547713	1.378922	4.225596	1650
N167|N167.mRNA.772.1	N167|N167.mRNA.11818.1	0.029647	0.057131	0.518934	1035.618164	236.381836	0.463547	0.104263	1713
N167|N167.mRNA.2564.1	N167|N167.mRNA.10453.1	0.632320	4.944457	0.127885	2480.317860	729.682140	1.224714	4.837604	5160
N167|N167.mRNA.2569.1	N167|N167.mRNA.161.1	0.314579	4.354377	0.072244	1320.767171	332.232829	1.315820	3.379587	1743
N167|N167.mRNA.2577.1	N167|N167.mRNA.4333.1	0.202295	4.704467	0.043001	1927.134459	529.865541	1.360144	3.519639	2541
N167|N167.mRNA.2578.1	N167|N167.mRNA.4334.1	0.515816	3.992649	0.129191	778.893065	205.106935	1.475506	3.721601	1797
N167|N167.mRNA.2571.1	N167|N167.mRNA.5813.1	0.004158	0.241656	0.017206	482.401822	123.598178	1.377469	0.157792	606
N167|N167.mRNA.2576.1	N167|N167.mRNA.6581.1	0.371020	4.354008	0.085214	1248.930781	332.069219	1.237739	3.622791	1821
N167|N167.mRNA.2568.1	N167|N167.mRNA.6784.1	0.281203	4.433094	0.063433	1323.001949	368.998051	2.065049	3.559992	2328
