SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Gonbut1|Gonbut1_100076	Gonbut1|Gonbut1_357588	0.246004	2.295561	0.107165	1493.178991	408.821009	1.514792	2.059624	2190
Gonbut1|Gonbut1_101592	Gonbut1|Gonbut1_292379	0.448437	1.890867	0.237159	378.145478	119.854522	1.631670	2.386767	630
Gonbut1|Gonbut1_102048	Gonbut1|Gonbut1_328568	0.066489	0.136331	0.487706	1461.200560	575.799440	2.570310	0.258694	2262
Gonbut1|Gonbut1_102168	Gonbut1|Gonbut1_293516	0.442970	2.144329	0.206578	1886.696457	540.303543	1.639680	2.465190	2910
Gonbut1|Gonbut1_103459	Gonbut1|Gonbut1_247350	0.346512	4.484873	0.077262	1368.626374	395.373626	1.380201	3.822187	1797
Gonbut1|Gonbut1_104283	Gonbut1|Gonbut1_301874	0.711906	2.377727	0.299406	965.284203	273.715797	1.225026	3.239742	3405
Gonbut1|Gonbut1_105076	Gonbut1|Gonbut1_298178	0.529186	3.862430	0.137009	984.143022	281.856978	1.301632	3.813857	1443
Gonbut1|Gonbut1_105385	Gonbut1|Gonbut1_288055	0.205631	0.633160	0.324769	443.776444	105.223556	1.128958	0.862718	1509
Gonbut1|Gonbut1_106374	Gonbut1|Gonbut1_348085	0.676599	3.306426	0.204632	5366.451627	1578.548373	1.183466	3.823019	8622
Gonbut1|Gonbut1_10753	Gonbut1|Gonbut1_306276	0.507246	2.410932	0.210394	951.642536	263.357464	1.359152	2.759640	1365
Gonbut1|Gonbut1_107880	Gonbut1|Gonbut1_332164	0.669239	1.869554	0.357967	805.046131	235.953869	1.527519	2.823911	1413
Gonbut1|Gonbut1_108017	Gonbut1|Gonbut1_333209	0.922233	4.729475	0.194997	1873.168745	547.831255	1.169844	5.351242	3732
Gonbut1|Gonbut1_1100	Gonbut1|Gonbut1_302025	0.748519	1.795615	0.416859	938.530691	303.469309	1.186067	3.013097	1503
Gonbut1|Gonbut1_110209	Gonbut1|Gonbut1_50077	0.005310	1.255370	0.004230	378.044662	62.955338	3.245488	0.551290	480
Gonbut1|Gonbut1_110255	Gonbut1|Gonbut1_307542	0.732938	2.080499	0.352290	889.170293	235.829707	1.283736	3.046268	1257
Gonbut1|Gonbut1_110986	Gonbut1|Gonbut1_297175	0.850474	1.706586	0.498348	583.373602	172.626398	1.756018	3.137880	858
Gonbut1|Gonbut1_111568	Gonbut1|Gonbut1_325343	0.421623	4.234299	0.099573	1159.919237	283.080763	1.317462	3.508727	1902
Gonbut1|Gonbut1_111904	Gonbut1|Gonbut1_276018	0.800417	4.110058	0.194746	870.134879	239.865121	1.037801	4.546838	1275
Gonbut1|Gonbut1_111963	Gonbut1|Gonbut1_295299	0.009911	1.055809	0.009387	507.985393	104.014607	1.598534	0.563010	612
Gonbut1|Gonbut1_113197	Gonbut1|Gonbut1_295298	0.530041	4.107087	0.129055	1018.083105	238.916895	1.390598	3.629781	1332
Gonbut1|Gonbut1_114666	Gonbut1|Gonbut1_358449	0.140081	0.289645	0.483629	394.471190	163.528810	4.857683	0.551736	675
Gonbut1|Gonbut1_115285	Gonbut1|Gonbut1_313084	0.553014	1.509498	0.366357	360.668334	104.331666	1.175771	2.302859	639
Gonbut1|Gonbut1_115516	Gonbut1|Gonbut1_296010	0.774021	4.034275	0.191861	878.187357	216.812643	1.131118	4.258677	1362
Gonbut1|Gonbut1_115756	Gonbut1|Gonbut1_367133	0.713675	4.148876	0.172016	1046.392907	252.607093	1.058329	4.145081	1572
Gonbut1|Gonbut1_116548	Gonbut1|Gonbut1_231302	0.476794	4.052413	0.117657	713.880225	222.119775	0.821419	3.975945	981
Gonbut1|Gonbut1_118164	Gonbut1|Gonbut1_58850	0.642936	2.712213	0.237052	441.579999	164.420001	2.149428	3.613119	1212
Gonbut1|Gonbut1_119648	Gonbut1|Gonbut1_303760	0.027670	0.142592	0.194051	736.771367	190.228633	3.558842	0.153760	1578
Gonbut1|Gonbut1_119666	Gonbut1|Gonbut1_245739	0.330089	3.675570	0.089806	396.608158	134.391842	1.495161	3.530409	783
Gonbut1|Gonbut1_121296	Gonbut1|Gonbut1_243999	0.154491	1.946770	0.079358	1010.976769	255.023231	1.526221	1.546584	2082
Gonbut1|Gonbut1_121563	Gonbut1|Gonbut1_301846	0.853051	2.716637	0.314010	890.600792	264.399208	1.471585	3.838974	2679
Gonbut1|Gonbut1_122370	Gonbut1|Gonbut1_241271	0.741562	2.432530	0.304852	3125.078799	945.921201	1.613186	3.403406	4893
Gonbut1|Gonbut1_122426	Gonbut1|Gonbut1_16753	0.039814	0.082425	0.483035	576.407211	149.592789	0.557948	0.145783	897
Gonbut1|Gonbut1_122919	Gonbut1|Gonbut1_312233	0.653233	3.675270	0.177738	850.782285	238.217715	1.480227	3.942903	1239
Gonbut1|Gonbut1_124350	Gonbut1|Gonbut1_299461	0.577672	3.571168	0.161760	426.072151	116.927849	1.305369	3.666846	684
Gonbut1|Gonbut1_124782	Gonbut1|Gonbut1_42892	0.024920	0.031224	0.798113	666.553847	218.446153	2.227690	0.079428	1527
Gonbut1|Gonbut1_124945	Gonbut1|Gonbut1_335896	0.009573	2.039442	0.004694	420.676738	41.323262	0.224812	0.573399	525
Gonbut1|Gonbut1_125356	Gonbut1|Gonbut1_250686	0.395883	2.889692	0.136998	1371.740843	389.259157	1.139489	2.841376	2562
Gonbut1|Gonbut1_125917	Gonbut1|Gonbut1_371144	0.354817	4.545168	0.078065	1482.528882	428.471118	1.162984	3.883045	2403
Gonbut1|Gonbut1_126082	Gonbut1|Gonbut1_264795	0.724390	2.287148	0.316722	1398.020823	416.979177	1.668197	3.250258	3003
Gonbut1|Gonbut1_126718	Gonbut1|Gonbut1_337127	0.240301	1.484738	0.161847	209.572950	63.427050	0.801211	1.588275	1719
Gonbut1|Gonbut1_126831	Gonbut1|Gonbut1_344440	0.248674	0.553379	0.449373	641.762090	213.237910	2.253540	0.974002	1089
Gonbut1|Gonbut1_126975	Gonbut1|Gonbut1_243631	0.639846	4.023028	0.159046	725.414473	213.585527	1.070402	4.228161	1071
Gonbut1|Gonbut1_127015	Gonbut1|Gonbut1_318544	0.547143	3.942106	0.138795	990.259828	191.740172	1.060475	3.293588	1614
Gonbut1|Gonbut1_127902	Gonbut1|Gonbut1_247759	0.385359	4.332371	0.088949	1228.373600	322.626400	1.328938	3.619153	1773
Gonbut1|Gonbut1_128116	Gonbut1|Gonbut1_320834	0.526329	2.744613	0.191768	3023.868763	894.131237	1.465922	3.097697	5550
Gonbut1|Gonbut1_128215	Gonbut1|Gonbut1_370500	0.377633	2.897225	0.130343	272.998352	90.001648	1.122138	3.007010	1608
Gonbut1|Gonbut1_12844	Gonbut1|Gonbut1_318775	0.066727	0.143396	0.465334	336.819227	134.180773	1.508799	0.265706	960
Gonbut1|Gonbut1_128683	Gonbut1|Gonbut1_295463	0.674676	1.841197	0.366433	2145.113840	659.886160	1.315461	2.847312	3729
Gonbut1|Gonbut1_12886	Gonbut1|Gonbut1_322197	0.018796	0.021253	0.884365	503.008925	174.991075	2.251004	0.058290	1290
Gonbut1|Gonbut1_128882	Gonbut1|Gonbut1_304746	0.726823	4.528176	0.160511	1744.126729	418.873271	1.364632	4.388909	2748
Gonbut1|Gonbut1_130270	Gonbut1|Gonbut1_29875	0.662245	2.641944	0.250666	2123.634594	633.365406	1.140764	3.351123	4083
Gonbut1|Gonbut1_132846	Gonbut1|Gonbut1_302917	0.010495	0.000000	99.000000	479.771419	168.228581	4.600000	0.023310	2538
Gonbut1|Gonbut1_133681	Gonbut1|Gonbut1_240050	0.362936	3.395749	0.106879	312.457739	92.542261	1.957706	3.167795	582
Gonbut1|Gonbut1_133806	Gonbut1|Gonbut1_316126	1.079923	2.431892	0.444067	1685.945240	519.054760	1.383254	4.194527	3015
Gonbut1|Gonbut1_13470	Gonbut1|Gonbut1_295970	0.370396	2.434648	0.152135	1115.613432	315.386568	1.181916	2.476045	2289
