SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
G669|G669.mRNA.2814.1	G669|G669.mRNA.11955.1	0.011847	0.032875	0.360354	1108.654995	466.345005	19.382490	0.054219	2142
G669|G669.mRNA.1233.1	G669|G669.mRNA.16331.1	0.000000	0.000000	99.000000	153.998900	59.001100	4.600000	0.000000	1605
G669|G669.mRNA.6716.1	G669|G669.mRNA.14711.1	0.206902	1.067587	0.193803	446.542482	165.457518	1.682165	1.318778	750
G669|G669.mRNA.6703.1	G669|G669.mRNA.14689.1	0.212305	1.245459	0.170463	1213.845993	355.154007	1.684535	1.338500	1581
G669|G669.mRNA.6731.1	G669|G669.mRNA.7739.1	0.004578	0.483679	0.009466	219.181390	95.818610	14.931611	0.450942	315
G669|G669.mRNA.6742.1	G669|G669.mRNA.6645.1	0.134426	1.488611	0.090303	718.601403	199.398597	3.627425	1.285705	3114
G669|G669.mRNA.6718.1	G669|G669.mRNA.238.1	0.009445	0.014047	0.672391	213.140958	71.859042	4.600000	0.031816	288
G669|G669.mRNA.6743.1	G669|G669.mRNA.6648.1	0.294771	2.080913	0.141655	1016.407695	285.592305	2.110313	2.059679	1308
G669|G669.mRNA.6733.1	G669|G669.mRNA.14787.1	0.418692	2.224565	0.188213	488.814114	135.185886	2.276215	2.429772	1041
G669|G669.mRNA.6717.1	G669|G669.mRNA.14709.1	0.156721	1.385746	0.113095	1166.048159	402.951841	2.699274	1.417080	1572
G669|G669.mRNA.6704.1	G669|G669.mRNA.14690.1	0.115883	1.294276	0.089535	1192.368597	358.631403	2.046030	1.165075	1560
G669|G669.mRNA.6707.1	G669|G669.mRNA.4980.1	0.552226	3.468586	0.159208	381.019543	101.980457	1.884274	3.503955	570
G669|G669.mRNA.6727.1	G669|G669.mRNA.881.1	0.138319	1.276732	0.108338	263.223965	87.776035	4.019116	1.269019	351
G669|G669.mRNA.6741.1	G669|G669.mRNA.13258.1	0.670343	4.461871	0.150238	1536.568491	383.431509	1.249337	4.282578	3495
G669|G669.mRNA.6701.1	G669|G669.mRNA.14688.1	0.238534	4.032109	0.059159	845.812701	216.187299	1.245998	3.032334	1134
G669|G669.mRNA.6706.1	G669|G669.mRNA.14685.1	0.277357	1.167811	0.237502	301.706827	67.293173	2.187248	1.319238	369
G669|G669.mRNA.6744.1	G669|G669.mRNA.6640.1	0.027080	3.082960	0.008784	376.289871	88.710129	2.117826	1.830191	465
G669|G669.mRNA.6715.1	G669|G669.mRNA.14712.1	0.402540	1.741093	0.231200	758.357009	195.642991	1.683588	2.031137	1173
G669|G669.mRNA.6702.1	G669|G669.mRNA.5834.1	0.309839	1.586330	0.195318	525.969859	143.030141	2.326448	1.748247	1008
G669|G669.mRNA.6705.1	G669|G669.mRNA.12365.1	0.331702	2.400620	0.138174	337.715488	94.284512	3.056760	2.349738	432
G669|G669.mRNA.6724.1	G669|G669.mRNA.6591.1	0.012430	0.634775	0.019582	325.022548	103.977452	5.381956	0.489806	429
G669|G669.mRNA.6734.1	G669|G669.mRNA.14789.1	0.083491	1.470731	0.056768	536.485504	120.514496	2.642840	1.013863	765
G669|G669.mRNA.6714.1	G669|G669.mRNA.14715.1	0.028659	0.992347	0.028880	409.144941	106.855059	3.239231	0.684667	591
G669|G669.mRNA.6746.1	G669|G669.mRNA.9602.1	0.479363	4.000278	0.119832	743.795875	207.204125	1.222337	3.739503	1305
G669|G669.mRNA.6711.1	G669|G669.mRNA.8085.1	0.643668	4.502895	0.142945	1713.011075	404.988925	1.175898	4.144806	2784
G669|G669.mRNA.6708.1	G669|G669.mRNA.14681.1	0.380360	2.325226	0.163580	917.575026	273.424974	1.967189	2.480564	1941
G669|G669.mRNA.6737.1	G669|G669.mRNA.14786.1	0.203946	1.194758	0.170701	1914.174824	554.825176	3.727674	1.279794	2934
G669|G669.mRNA.6721.1	G669|G669.mRNA.14704.1	0.135187	2.572296	0.052555	378.244918	74.755082	1.506955	1.612091	483
G669|G669.mRNA.6723.1	G669|G669.mRNA.14702.1	0.200136	1.289525	0.155201	519.534093	146.465907	1.584402	1.319140	708
G669|G669.mRNA.6725.1	G669|G669.mRNA.6592.1	0.050754	1.321600	0.038403	1170.231236	374.768764	3.025697	1.077064	1896
G669|G669.mRNA.6754.1	G669|G669.mRNA.8257.1	0.395011	1.547009	0.255338	773.310025	216.689975	2.764241	1.941476	1035
G669|G669.mRNA.6722.1	G669|G669.mRNA.12601.1	0.720994	4.032738	0.178785	1019.631159	216.368841	1.114007	3.902200	1761
G669|G669.mRNA.6747.1	G669|G669.mRNA.6594.1	0.166210	1.612356	0.103085	454.583384	130.416616	2.125527	1.465817	921
G669|G669.mRNA.6732.1	G669|G669.mRNA.14791.1	0.126259	1.394299	0.090553	1600.089797	472.910203	2.466341	1.246604	2184
G669|G669.mRNA.6720.1	G669|G669.mRNA.3289.1	0.033578	0.080285	0.418237	522.963478	182.036522	2.122200	0.136915	948
G669|G669.mRNA.6750.1	G669|G669.mRNA.11684.1	0.269523	3.625703	0.074337	483.253116	125.746884	1.139193	2.887531	639
G669|G669.mRNA.6752.1	G669|G669.mRNA.15466.1	0.650434	2.119576	0.306870	552.002527	149.997473	1.319376	2.893044	1401
G669|G669.mRNA.1404.1	G669|G669.mRNA.10599.1	0.006370	0.059634	0.106825	315.334061	104.665939	2.097618	0.058932	1458
G669|G669.mRNA.5192.1	G669|G669.mRNA.4643.1	0.059684	0.826589	0.072205	685.491339	205.508661	4.654963	0.709711	897
G669|G669.mRNA.5191.1	G669|G669.mRNA.4641.1	0.109884	2.781820	0.039501	3404.203583	1044.796417	2.884047	2.212072	4698
G669|G669.mRNA.337.1	G669|G669.mRNA.16405.1	0.043908	0.022014	1.994576	258.808675	92.191325	5.120463	0.114473	870
