SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Pilano1|Pilano1_100451	Pilano1|Pilano1_419585	0.655454	2.686102	0.244017	470.447250	135.552750	2.087291	3.329035	678
Pilano1|Pilano1_100726	Pilano1|Pilano1_328344	0.433101	3.375601	0.128303	398.910705	90.089295	2.361547	2.925609	522
Pilano1|Pilano1_101574	Pilano1|Pilano1_389550	0.397095	4.151169	0.095659	1156.619738	253.380262	1.159141	3.215133	1677
Pilano1|Pilano1_10201	Pilano1|Pilano1_437802	0.254827	3.543793	0.071908	583.262975	112.737025	0.980275	2.362706	738
Pilano1|Pilano1_102350	Pilano1|Pilano1_379590	0.543692	3.772130	0.144134	657.142366	152.857634	0.940151	3.458822	1563
Pilano1|Pilano1_102409	Pilano1|Pilano1_416082	0.458402	3.551871	0.129059	606.042177	113.957823	1.386566	2.844061	984
Pilano1|Pilano1_102849	Pilano1|Pilano1_443992	0.047735	0.038511	1.239526	563.293145	186.706855	5.865918	0.136315	1737
Pilano1|Pilano1_103627	Pilano1|Pilano1_379262	0.326920	4.670428	0.069998	2343.645055	506.354945	1.283284	3.295872	3513
Pilano1|Pilano1_105865	Pilano1|Pilano1_390337	0.017732	0.041933	0.422880	1160.637413	411.362587	3.590232	0.072196	1587
Pilano1|Pilano1_108168	Pilano1|Pilano1_450080	0.483814	3.456147	0.139987	496.696997	100.303003	1.372757	2.949602	2403
Pilano1|Pilano1_108531	Pilano1|Pilano1_334723	0.333856	3.315647	0.100691	429.831990	83.168010	1.486427	2.451799	612
Pilano1|Pilano1_109714	Pilano1|Pilano1_359373	0.098428	3.549575	0.027730	540.390594	113.609406	1.180029	2.093829	672
Pilano1|Pilano1_110053	Pilano1|Pilano1_45938	0.545477	4.028295	0.135411	1167.909388	215.090612	1.362870	3.261422	1608
Pilano1|Pilano1_111034	Pilano1|Pilano1_388213	0.468913	4.100010	0.114369	996.326983	236.673017	1.419149	3.497693	2127
Pilano1|Pilano1_111314	Pilano1|Pilano1_388885	0.583398	99.000000	0.005893	394.224826	64.775174	0.675054	43.416550	480
Pilano1|Pilano1_11506	Pilano1|Pilano1_422407	0.415987	3.753850	0.110816	711.823028	149.176972	1.293923	2.982917	1140
